PassengerId,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet_int,Cabin_int,Destination_int,Name_int,CryoSleep_int,VIP_int,Transported_int
3282_03,0.5443037974683544,0.0,0.04830107671150169,0.0,0.00379328811138879,0.006215555463473252,0,2304,0,2960,0,0,1
8276_02,0.2911392405063291,0.0,0.0,0.0,0.0,0.0,0,5856,0,7564,1,0,1
1911_01,0.5822784810126582,0.000558386263697913,0.021869654177707712,0.0,0.00022313459478757588,0.0037293332780839513,1,1333,0,1751,0,0,0
1808_01,0.4177215189873418,0.0,0.0255928621742193,0.00034054146092286734,8.925383791503035e-05,0.0012431110926946504,1,1261,0,1662,0,0,0
6995_01,0.3037974683544304,0.0,0.0019454600342132626,0.0263068278562915,0.0,0.0016989184933493557,1,4975,2,6463,0,0,0
5608_01,0.17721518987341772,0.0020939484888671737,0.025391607687921376,0.004895283500766218,0.0,0.0,1,3963,0,5120,0,0,1
3962_02,0.6962025316455696,0.0,0.04035152450273371,0.0,0.0,0.018480918244727137,1,2786,1,3596,0,0,0
1590_02,0.4177215189873418,0.0,0.0008721027739576695,4.256768261535842e-05,0.0014726883255980008,0.10106493183607508,0,1103,2,1462,0,0,0
3323_02,0.6708860759493671,0.0,0.0,0.0,0.0,0.0,0,2335,2,3008,1,0,1
5152_01,0.5063291139240507,0.0,0.018548955153791968,0.0004256768261535842,0.12437522313459479,0.002154725894004061,0,3624,0,4700,0,0,0
2329_01,0.3670886075949367,0.0,0.015365015372161363,0.0,0.0,0.0,2,1633,0,2120,1,0,1
5252_01,0.4430379746835443,0.014099253158372304,0.04390702042733036,0.002554060956921505,0.0,0.0,1,3704,0,4794,0,0,1
7780_01,0.4177215189873418,0.0,0.0017777479622983262,0.026179124808445427,0.0004016422706176366,0.0,1,5507,2,7089,0,0,1
4932_02,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,2,3479,2,4509,1,0,1
3487_01,0.5822784810126582,0.0,0.0,0.0,0.0682345590860407,0.12717026478266275,0,2454,2,3169,0,0,0
0740_01,0.8481012658227848,0.0053046695051301735,0.0005366786301277966,0.0,0.1002766868975366,0.04831558446939875,0,526,2,694,0,0,0
1997_01,0.5316455696202531,0.002582536469602848,0.05601583201958877,0.0,0.0,0.0,1,1392,0,1823,0,0,1
